county_fips,county_name,total,white_pct,black_pct,asian_pct,hispanic_pct
13001,Appling County,18426,69.8,17.72,0.47,10.36
13003,Atkinson County,8261,64.11,15.19,0.0,26.35
13005,Bacon County,11129,73.92,15.01,0.69,8.35
13007,Baker County,2830,49.05,40.67,5.69,2.58
13009,Baldwin County,43669,52.46,41.76,1.68,2.76
13011,Banks County,18757,87.01,1.68,1.47,6.93
13013,Barrow County,86982,69.26,13.21,4.12,14.19
13015,Bartow County,111153,78.2,11.0,0.82,10.26
13017,Ben Hill County,17138,57.32,37.74,0.36,6.47
13019,Berrien County,18257,81.28,10.57,1.05,5.91
13021,Bibb County,156543,36.04,54.53,2.22,4.45
13023,Bleckley County,12414,68.93,26.04,0.72,3.74
13025,Brantley County,18171,92.43,2.94,0.66,2.08
13027,Brooks County,16285,57.37,34.74,0.88,6.44
13029,Bryan County,46681,72.29,13.99,2.24,7.87
13031,Bulloch County,81372,62.78,28.27,1.45,5.04
13033,Burke County,24427,50.12,45.28,0.52,3.44
13035,Butts County,26074,65.55,27.63,0.13,3.61
13037,Calhoun County,5528,33.97,59.57,0.29,4.83
13039,Camden County,56036,70.68,18.16,1.7,7.33
13043,Candler County,10972,60.68,22.65,0.6,12.74
13045,Carroll County,122187,69.82,20.51,0.87,8.28
13047,Catoosa County,68356,89.1,2.28,1.57,3.8
13049,Charlton County,12711,56.86,25.04,0.85,15.47
13051,Chatham County,298143,47.7,39.41,2.88,8.03
13053,Chattahoochee County,9181,59.14,18.54,3.32,17.43
13055,Chattooga County,24975,82.14,9.53,0.08,5.45
13057,Cherokee County,274539,78.15,7.18,2.11,12.14
13059,Clarke County,129267,57.69,26.28,4.22,11.41
13061,Clay County,2853,39.78,59.52,0.0,0.14
13063,Clayton County,298771,11.52,69.81,5.0,14.3
13065,Clinch County,6722,65.26,25.56,0.21,5.61
13067,Cobb County,769152,50.52,26.99,5.42,14.68
13069,Coffee County,43161,60.71,28.09,0.68,12.92
13071,Colquitt County,45907,57.32,22.81,0.84,19.75
13073,Columbia County,159638,67.58,17.96,4.48,7.81
13075,Cook County,17363,65.31,27.88,0.25,7.0
13077,Coweta County,150071,71.37,18.52,2.1,7.9
13079,Crawford County,12183,73.38,21.51,0.0,3.83
13081,Crisp County,19995,50.88,45.01,1.04,3.45
13083,Dade County,16196,92.09,1.61,1.07,2.31
13085,Dawson County,28704,88.88,1.61,0.9,6.71
13087,Decatur County,29118,50.02,42.02,0.71,6.77
13089,DeKalb County,762105,30.08,51.46,6.12,10.41
13091,Dodge County,19909,65.72,30.81,0.02,3.42
13093,Dooly County,11026,41.77,47.91,0.0,7.66
13095,Dougherty County,83915,23.85,70.56,0.79,3.05
13097,Douglas County,146141,36.44,49.17,1.87,11.68
13099,Early County,10683,43.32,51.87,0.29,2.11
13101,Echols County,3705,67.58,4.24,6.29,27.31
13103,Effingham County,67265,76.43,14.29,0.75,6.14
13105,Elbert County,19725,64.83,25.68,1.21,5.63
13107,Emanuel County,22961,59.69,32.44,0.81,4.65
13109,Evans County,10740,55.31,27.33,0.99,12.07
13111,Fannin County,25605,93.28,0.71,0.34,3.1
13113,Fayette County,120689,59.02,25.53,4.72,8.27
13115,Floyd County,98985,72.7,13.69,1.29,12.0
13117,Forsyth County,260062,66.28,4.11,18.02,10.02
13119,Franklin County,23840,82.47,8.37,1.56,5.22
13121,Fulton County,1068507,39.35,43.12,7.59,8.06
13123,Gilmer County,31976,87.82,0.75,0.44,12.01
13125,Glascock County,2913,86.85,11.77,0.0,0.72
13127,Glynn County,84987,64.56,24.61,1.23,7.53
13129,Gordon County,58336,80.91,3.7,1.16,16.06
13131,Grady County,26056,60.75,30.12,0.1,12.92
13133,Greene County,19586,59.96,30.7,1.22,6.94
13135,Gwinnett County,966972,36.08,28.44,12.87,23.25
13137,Habersham County,46948,79.34,3.41,2.25,15.58
13139,Hall County,208395,67.4,6.79,2.09,28.59
13141,Hancock County,8630,26.42,71.39,0.54,0.64
13143,Haralson County,30720,90.57,4.75,0.56,1.92
13145,Harris County,35509,76.31,15.8,0.56,4.67
13147,Hart County,26484,74.94,17.17,1.42,3.96
13149,Heard County,11616,85.09,7.91,0.76,2.6
13151,Henry County,245417,36.74,50.77,3.23,7.99
13153,Houston County,166902,54.99,31.6,3.09,7.33
13155,Irwin County,9385,68.0,25.31,0.18,7.01
13157,Jackson County,80640,79.77,7.72,2.08,9.91
13159,Jasper County,15345,74.82,17.12,0.23,4.82
13161,Jeff Davis County,14838,70.6,13.86,0.13,13.7
13163,Jefferson County,15468,43.1,52.31,0.47,3.37
13165,Jenkins County,8674,57.36,37.98,0.02,4.21
13167,Johnson County,9192,62.42,33.43,0.0,2.11
13169,Jones County,28526,70.71,25.08,0.33,2.0
13171,Lamar County,19098,66.51,28.46,0.68,0.83
13173,Lanier County,10094,66.6,24.46,1.03,6.73
13175,Laurens County,49619,57.14,37.47,0.94,3.08
13177,Lee County,33337,68.11,23.35,2.34,3.23
13179,Liberty County,66826,39.73,42.88,1.78,12.42
13181,Lincoln County,7773,68.62,27.29,0.1,1.33
13183,Long County,17512,55.66,26.01,0.15,12.75
13185,Lowndes County,119055,52.69,37.14,1.94,6.86
13187,Lumpkin County,33931,90.62,1.84,0.9,5.65
13189,McDuffie County,21687,55.02,41.09,0.44,3.58
13191,McIntosh County,11187,63.25,29.79,0.32,2.52
13193,Macon County,11953,33.46,59.08,1.57,4.38
13195,Madison County,30914,79.41,9.23,1.94,6.88
13197,Marion County,7474,59.14,28.83,0.8,7.87
13199,Meriwether County,20757,57.75,38.18,0.3,2.74
13201,Miller County,5873,65.62,27.31,0.66,3.12
13205,Mitchell County,21441,47.22,46.0,0.02,5.0
13207,Monroe County,28919,73.4,21.61,1.08,2.7
13209,Montgomery County,8675,67.63,22.95,0.61,7.12
13211,Morgan County,20614,73.44,21.69,0.51,3.58
13213,Murray County,40282,87.27,0.61,0.37,15.61
13215,Muscogee County,204383,39.27,46.72,2.6,8.26
13217,Newton County,115530,41.96,47.44,1.41,6.76
13219,Oconee County,42788,83.66,3.33,4.23,5.76
13221,Oglethorpe County,15221,75.16,15.91,0.93,6.35
13223,Paulding County,174292,66.07,21.98,1.37,8.18
13225,Peach County,28269,46.76,43.3,0.48,9.14
13227,Pickens County,34197,93.12,0.5,0.46,3.78
13229,Pierce County,19996,84.66,9.83,0.0,5.18
13231,Pike County,19540,87.74,8.52,0.6,2.11
13233,Polk County,43365,75.52,11.94,1.02,13.47
13235,Pulaski County,9893,58.02,33.19,1.28,6.48
13237,Putnam County,22524,66.83,25.56,0.71,6.96
13239,Quitman County,2092,48.37,49.9,0.0,1.2
13241,Rabun County,17107,88.47,0.91,0.79,8.66
13243,Randolph County,6270,27.4,67.72,0.14,3.56
13245,Richmond County,206040,33.37,56.06,1.79,5.64
13247,Rockdale County,94293,28.25,57.72,1.76,10.6
13249,Schley County,4539,78.3,17.16,0.0,2.12
13251,Screven County,14057,55.95,39.62,0.0,2.48
13253,Seminole County,9117,63.12,33.48,0.42,2.93
13255,Spalding County,68215,56.92,35.4,0.73,5.78
13257,Stephens County,26842,81.3,10.64,1.04,3.68
13259,Stewart County,4978,27.44,60.55,1.71,10.81
13261,Sumter County,29174,41.43,49.82,1.35,6.17
13263,Talbot County,5753,40.67,55.21,0.0,1.13
13265,Taliaferro County,1740,41.67,44.66,0.06,5.8
13267,Tattnall County,24215,58.17,27.52,0.48,10.54
13269,Taylor County,7786,58.55,38.71,0.69,0.78
13271,Telfair County,12174,51.77,36.77,0.16,15.48
13273,Terrell County,8941,36.37,59.86,1.21,2.45
13275,Thomas County,45696,58.28,35.84,0.86,3.79
13277,Tift County,41322,57.17,29.03,1.12,12.91
13279,Toombs County,26943,63.29,23.75,0.85,11.71
13281,Towns County,12739,93.54,1.67,0.04,3.29
13283,Treutlen County,6387,64.46,31.31,0.0,0.61
13285,Troup County,69821,55.78,36.5,2.4,4.41
13287,Turner County,8915,55.89,37.64,0.0,4.66
13289,Twiggs County,7869,55.43,40.6,0.7,0.78
13291,Union County,25598,93.46,0.88,0.17,3.59
13293,Upson County,27856,67.67,26.5,0.38,2.52
13295,Walker County,68449,90.53,4.37,0.6,2.71
13297,Walton County,100361,72.13,19.73,1.39,6.09
13299,Ware County,35958,62.12,29.89,1.2,4.76
13301,Warren County,5175,39.44,57.6,0.33,1.1
13303,Washington County,19893,42.29,51.59,0.54,1.98
13305,Wayne County,30519,72.04,19.91,1.05,6.08
13307,Webster County,2348,46.0,49.02,0.0,7.07
13309,Wheeler County,7434,58.99,38.46,0.0,4.24
13311,White County,28454,90.66,2.05,0.66,3.49
13313,Whitfield County,103118,69.66,3.4,1.48,36.56
13315,Wilcox County,8784,61.28,33.5,0.0,3.67
13317,Wilkes County,9553,52.04,40.99,0.0,4.64
13319,Wilkinson County,8795,55.41,38.21,0.01,3.15
13321,Worth County,20575,67.59,24.21,0.74,2.25
